MeasureItem	Month	Year	Category	Country	MeasureItemID	CreationDate	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	11	2019	Biomass	RO	B01	2024-05-29 11:56:05	100	43.7809000	
Monthly Domestic Values	11	2019	Geothermal	IT	B09	2024-05-29 11:56:05	100	465.6350000	
Monthly Domestic Values	3	2019	Wind Offshore	DE	B18	2024-05-29 11:56:05	100	2542.5542725	
Monthly Domestic Values	12	2019	Geothermal	ES	B09	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	3	2019	Hydro Water Reservoir	HU	B12	2024-05-29 11:56:05	100	8.8661500	
Monthly Domestic Values	8	2019	Solar	PT	B16	2024-05-29 11:56:05	100	120.4065000	
Monthly Domestic Values	7	2019	Fossil Oil shale	ES	B07	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	7	2019	Fossil Hard coal	ES	B05	2024-05-29 11:56:05	100	696.4110000	
Monthly Domestic Values	9	2019	Wind Onshore	ES	B19	2024-05-29 11:56:05	100	3734.6800000	
Monthly Domestic Values	7	2019	Hydro Run-of-river and poundage	PT	B11	2024-05-29 11:56:05	100	220.4957000	
Monthly Domestic Values	4	2019	Hydro Water Reservoir	BG	B12	2024-05-29 11:56:05	100	110.4950000	
Monthly Domestic Values	5	2019	Fossil Gas	RO	B04	2024-05-29 11:56:05	100	350.6983700	
Monthly Domestic Values	11	2019	Fossil Gas	HU	B04	2024-05-29 11:56:05	100	751.8010850	
Monthly Domestic Values	7	2019	Solar	CH	B16	2024-05-29 11:56:05	100	60.5048800	
Monthly Domestic Values	4	2019	Solar	GB	B16	2024-05-29 11:56:05	100	1325.4075000	
Monthly Domestic Values	8	2019	Other	NO	B20	2024-05-29 11:56:05	100	10.7409600	
Monthly Domestic Values	5	2019	Fossil Hard coal	BE	B05	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	11	2019	Biomass	NL	B01	2024-05-29 11:56:05	100	14.0823275	
Monthly Domestic Values	3	2019	Waste	AT	B17	2024-05-29 11:56:05	100	74.4000000	
Monthly Domestic Values	12	2019	Waste	FI	B17	2024-05-29 11:56:05	100	15.2338800	
Monthly Domestic Values	6	2019	Hydro Pumped Storage	IT	B10	2024-05-29 11:56:05	100	314.1520000	
Monthly Domestic Values	10	2019	Fossil Gas	IE	B04	2024-05-29 11:56:05	100	582.5303150	
Monthly Domestic Values	8	2019	Wind Onshore	EE	B19	2024-05-29 11:56:05	100	38.2410000	
Monthly Domestic Values	6	2019	Solar	NL	B16	2024-05-29 11:56:05	100	9.4872350	
Monthly Domestic Values	10	2019	Other	CZ	B20	2024-05-29 11:56:05	100	87.2965700	
Monthly Domestic Values	1	2019	Other	ES	B20	2024-05-29 11:56:05	100	44.3970000	
Monthly Domestic Values	4	2019	Wind Onshore	HR	B19	2024-05-29 11:56:05	100	124.5203900	
Monthly Domestic Values	9	2019	Hydro Run-of-river and poundage	IE	B11	2024-05-29 11:56:05	100	63.9599650	
Monthly Domestic Values	8	2019	Hydro Run-of-river and poundage	LU	B11	2024-05-29 11:56:05	100	1.2753650	
Monthly Domestic Values	12	2019	Biomass	HR	B01	2024-05-29 11:56:05	100	45.0160000	
Monthly Domestic Values	9	2019	Waste	NL	B17	2024-05-29 11:56:05	100	134.8506650	
Monthly Domestic Values	8	2019	Waste	HR	B17	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	5	2019	Fossil Gas	GB	B04	2024-05-29 11:56:05	100	9418.7171600	
Monthly Domestic Values	12	2019	Fossil Oil	FR	B06	2024-05-29 11:56:05	100	160.7630000	
Monthly Domestic Values	5	2019	Hydro Water Reservoir	HR	B12	2024-05-29 11:56:05	100	417.5761300	
Monthly Domestic Values	4	2019	Solar	RO	B16	2024-05-29 11:56:05	100	134.6205800	
Monthly Domestic Values	5	2019	Other renewable	FI	B15	2024-05-29 11:56:05	100	6.8955900	
Monthly Domestic Values	2	2019	Hydro Run-of-river and poundage	BE	B11	2024-05-29 11:56:05	100	20.5560800	
Monthly Domestic Values	5	2019	Wind Onshore	SI	B19	2024-05-29 11:56:05	100	0.3795800	
Monthly Domestic Values	9	2019	Fossil Oil	HR	B06	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	8	2019	Fossil Oil	IT	B06	2024-05-29 11:56:05	100	125.8460000	
Monthly Domestic Values	7	2019	Nuclear	CZ	B14	2024-05-29 11:56:05	100	1781.5447900	
Monthly Domestic Values	11	2019	Hydro Water Reservoir	PT	B12	2024-05-29 11:56:05	100	198.4208000	
Monthly Domestic Values	9	2019	Fossil Peat	EE	B08	2024-05-29 11:56:05	100	2.9513000	
Monthly Domestic Values	5	2019	Hydro Run-of-river and poundage	GB	B11	2024-05-29 11:56:05	100	128.1970000	
Monthly Domestic Values	8	2019	Solar	FR	B16	2024-05-29 11:56:05	100	1374.4090000	
Monthly Domestic Values	9	2019	Other	RS	B20	2024-05-29 11:56:05	100	10.8000000	
Monthly Domestic Values	6	2019	Hydro Water Reservoir	BA	B12	2024-05-29 11:56:05	100	461.7954000	
Monthly Domestic Values	6	2019	Wind Onshore	DE	B19	2024-05-29 11:56:05	100	5134.5887600	
Monthly Domestic Values	1	2019	Biomass	PT	B01	2024-05-29 11:56:05	100	229.1585000	
Monthly Domestic Values	4	2019	Biomass	EE	B01	2024-05-29 11:56:05	100	49.6535000	
Monthly Domestic Values	10	2019	Biomass	CZ	B01	2024-05-29 11:56:05	100	163.2479900	
Monthly Domestic Values	10	2019	Biomass	EE	B01	2024-05-29 11:56:05	100	56.5887000	
Monthly Domestic Values	5	2019	Biomass	GB	B01	2024-05-29 11:56:05	100	1478.9010000	
