MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromAreaMemberType;ToAreaMemberType
Physical Energy & Power Flows;2020;3;185;185;185;AL;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;298;298;298;AL;ME;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;27;27;27;AL;RS;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;780;780;780;AT;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;873;873;873;AT;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;1909;1909;1909;AT;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;242;242;242;AT;HU;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;138;138;138;AT;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;543;543;543;AT;SI;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;5;5;5;BA;HR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;439;439;439;BA;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;158;158;158;BA;RS;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;796;796;796;BE;FR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;722;722;722;BE;GB;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;0;0;0;BE;LU;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;929;929;929;BE;NL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;257;257;257;BG;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;148;148;148;BG;MK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;58;58;58;BG;RO;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;62;62;62;BG;RS;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;295;295;295;BG;TR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;159;159;159;BY;LT;Value on 3rd Wed. at 03;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2020;3;280;280;280;BY;UA;Value on 3rd Wed. at 03;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2020;3;780;780;780;CH;AT;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;1963;1963;1963;CH;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;2378;2378;2378;CH;FR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;3255;3255;3255;CH;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;873;873;873;CZ;AT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;932;932;932;CZ;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;935;935;935;CZ;PL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;948;948;948;CZ;SK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;1909;1909;1909;DE;AT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;1963;1963;1963;DE;CH;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;932;932;932;DE;CZ;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;210;210;210;DE;DK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;1436;1436;1436;DE;FR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2020;3;388;388;388;DE;LU;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2020;3;1135;1135;1135;DE;NL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
