MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;Representativity;ProvidedValue;CreationDate;ProvidedValueCode
Net Generating Capacity;6;B01;Biomass;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B02;Fossil Brown coal/Lignite;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B03;Fossil Coal-derived gas;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B04;Fossil Gas;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B05;Fossil Hard coal;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B06;Fossil Oil;AL;2021;100;97;12/04/2023 00:00;
Net Generating Capacity;6;B07;Fossil Oil shale;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B08;Fossil Peat;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B09;Geothermal;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B10;Hydro Pumped Storage;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B11;Hydro Run-of-river and poundage;AL;2021;100;527;12/04/2023 00:00;
Net Generating Capacity;6;B12;Hydro Water Reservoir;AL;2021;100;1676;12/04/2023 00:00;
Net Generating Capacity;6;B13;Marine;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B14;Nuclear;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B20;Other;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B15;Other renewable;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B16;Solar;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B17;Waste;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B18;Wind Offshore;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B19;Wind Onshore;AL;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B01;Biomass;AT;2021;100;497;12/04/2023 00:00;
Net Generating Capacity;6;B02;Fossil Brown coal/Lignite;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B03;Fossil Coal-derived gas;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B04;Fossil Gas;AT;2021;100;4449;12/04/2023 00:00;
Net Generating Capacity;6;B05;Fossil Hard coal;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B06;Fossil Oil;AT;2021;100;164;12/04/2023 00:00;
Net Generating Capacity;6;B07;Fossil Oil shale;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B08;Fossil Peat;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B09;Geothermal;AT;2021;100;1;12/04/2023 00:00;
Net Generating Capacity;6;B10;Hydro Pumped Storage;AT;2021;100;3459;12/04/2023 00:00;
Net Generating Capacity;6;B11;Hydro Run-of-river and poundage;AT;2021;100;5941;12/04/2023 00:00;
Net Generating Capacity;6;B12;Hydro Water Reservoir;AT;2021;100;2430;12/04/2023 00:00;
Net Generating Capacity;6;B13;Marine;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B14;Nuclear;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B20;Other;AT;2021;100;957;12/04/2023 00:00;
Net Generating Capacity;6;B15;Other renewable;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B16;Solar;AT;2021;100;1851;12/04/2023 00:00;
Net Generating Capacity;6;B17;Waste;AT;2021;100;103;12/04/2023 00:00;
Net Generating Capacity;6;B18;Wind Offshore;AT;2021;100;0;12/04/2023 00:00;
Net Generating Capacity;6;B19;Wind Onshore;AT;2021;100;3198;12/04/2023 00:00;
Net Generating Capacity;6;B02;Fossil Brown coal/Lignite;BA;2021;100;988;12/04/2023 00:00;
Net Generating Capacity;6;B05;Fossil Hard coal;BA;2021;100;887;12/04/2023 00:00;
Net Generating Capacity;6;B10;Hydro Pumped Storage;BA;2021;100;440;12/04/2023 00:00;
Net Generating Capacity;6;B11;Hydro Run-of-river and poundage;BA;2021;100;1083.4;12/04/2023 00:00;
Net Generating Capacity;6;B12;Hydro Water Reservoir;BA;2021;100;707;12/04/2023 00:00;
Net Generating Capacity;6;B19;Wind Onshore;BA;2021;100;145;12/04/2023 00:00;
Net Generating Capacity;6;B01;Biomass;BE;2021;100;672.09;12/04/2023 00:00;
Net Generating Capacity;6;B04;Fossil Gas;BE;2021;100;7281.57;12/04/2023 00:00;
Net Generating Capacity;6;B06;Fossil Oil;BE;2021;100;275.32;12/04/2023 00:00;
Net Generating Capacity;6;B10;Hydro Pumped Storage;BE;2021;100;1308;12/04/2023 00:00;
Net Generating Capacity;6;B11;Hydro Run-of-river and poundage;BE;2021;100;175.7;12/04/2023 00:00;
Net Generating Capacity;6;B14;Nuclear;BE;2021;100;5943;12/04/2023 00:00;
Net Generating Capacity;6;B20;Other;BE;2021;100;18.5;12/04/2023 00:00;
Net Generating Capacity;6;B16;Solar;BE;2021;100;4787.56;12/04/2023 00:00;
Net Generating Capacity;6;B17;Waste;BE;2021;100;362.14;12/04/2023 00:00;
