MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	157	Nuclear	RO	2022	1274.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	FI	2022	565.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	PL	2022	2706.00		23	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	CZ	2022	1110.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	RS	2022	590.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LT	2022	470.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	DE	2022	7879.30		44	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GR	2022	4617.00		16	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	SK	2022	419.60		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	UA_IPS	2022	440.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	DE	2022	8124.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	380	Hydro_1MW_10MW	IT	2022	253.00		32	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	LT	2022	445.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	IT	2022	12409.00		40	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	375	FF_LT10MW	HU	2022	5.50		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	SI	2022	180.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	DE	2022	350.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	375	FF_LT10MW	SE	2022	0.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	HU	2022	1915.60		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	ES	2022	9460.30		22	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	FR	2022	665.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	BE	2022	5943.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	MK	2022	300.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	IT	2022	1057.00		46	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	NL	2022	485.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	FI	2022	385.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	RS	2022	2160.30		12	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	LT	2022	900.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	GR	2022	120.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	BE	2022	1308.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	SK	2022	708.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	GB	2022	12638.00		22	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	BE	2022	2261.90		10	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	389	Wind_Off_Over_1MW	GB	2022	10488.00		57	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	IT	2022	2047.00		30	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	PT	2022	2166.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	SI	2022	242.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	LV	2022	299.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	UA_IPS	2022	26760.00		23	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	385	Solar_Over_1MW	HU	2022	513.00		24	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	CZ	2022	3936.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	GB	2022	54606.00		97	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	NO	2022	94.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	GE	2022	300.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	RO	2022	1881.00		11	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	UA_BEI	2022	1421.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	MK	2022	699.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	FI	2022	1153.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	FR	2022	844.70		13	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	IE	2022	1252.00		16	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	GB	2022	3231.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	397	Waste_Over_1MW	IT	2022	67.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	AT	2022	2060.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	IT	2022	4900.00		216	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	BE	2022	1971.30		13	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	XK	2022	1288.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	UA_IPS	2022	9241.40		31	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	RS	2022	1300.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	BA	2022	871.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	IE	2022	2442.00		9	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	HU	2022	226.80		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	FR	2022	2321.00		18	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	PL	2022	301.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
