MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromMemberType;ToMemberType
Physical Energy & Power Flows;2022;2;350;350;350;GE;RU;Value on 3rd Wed. at 03;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;2;351;351;351;GE;TR;Value on 3rd Wed. at 03;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2022;2;10;10;10;GR;AL;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;490;490;490;GR;BG;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;317;317;317;GR;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;361;361;361;GR;MK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;671;671;671;GR;TR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;131;131;131;HR;BA;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;1070;1070;1070;HR;HU;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;142;142;142;HR;RS;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;273;273;273;HR;SI;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;742;742;742;HU;AT;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;1070;1070;1070;HU;HR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;291;291;291;HU;RO;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;327;327;327;HU;RS;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;1872;1872;1872;HU;SK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;496;496;496;HU;UA;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;500;500;500;IE;GB;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;177;177;177;IT;AT;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;3425;3425;3425;IT;CH;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;1677;1677;1677;IT;FR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;317;317;317;IT;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;433;433;433;IT;ME;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;40;40;40;IT;MT;Value on 3rd Wed. at 03;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;1057;1057;1057;IT;SI;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;363;363;363;LT;BY;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;51;51;51;LT;LV;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;227;227;227;LT;PL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;281;281;281;LT;RU;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;711;711;711;LT;SE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;130;130;130;LU;BE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;195;195;195;LU;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;410;410;410;LV;EE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;51;51;51;LV;LT;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;83;83;83;LV;RU;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;0;0;0;MD;RO;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;2;37;37;37;MD;UA;Value on 3rd Wed. at 03;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;2;79;79;79;ME;AL;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;506;506;506;ME;BA;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;433;433;433;ME;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;217;217;217;ME;RS;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;106;106;106;ME;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;516;516;516;MK;BG;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;361;361;361;MK;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;52;52;52;MK;RS;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;51;51;51;MK;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;40;40;40;MT;IT;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;2;1092;1092;1092;NL;BE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;622;622;622;NL;DE;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;515;515;515;NL;DK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;445;445;445;NL;GB;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;0;0;0;NL;NO;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;41;41;41;NO;DE;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;944;944;944;HU;HR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;407;407;407;HU;RO;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;265;265;265;HU;RS;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;2014;2014;2014;HU;SK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;386;386;386;HU;UA;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;0;0;0;IE;GB;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;178;178;178;IT;AT;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;3443;3443;3443;IT;CH;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;985;985;985;IT;FR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;42;42;42;IT;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;94;94;94;IT;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;2;2;2;IT;MT;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;999;999;999;IT;SI;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;2;373;373;373;LT;BY;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;2;6;6;6;LT;LV;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;144;144;144;LT;PL;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;2;292;292;292;LT;RU;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
