MeasureItem,MeasureItemCategoryID,MeasureItemID,Category,Country,Year,Representativity,ProvidedValue,CreationDate,ProvidedValueCode
Net Generating Capacity,6,B01,Biomass,AL,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B05,Fossil Hard coal,AL,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B06,Fossil Oil,AL,2023,100,97,01/03/2024 00:00,
Net Generating Capacity,6,B08,Fossil Peat,AL,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,AL,2023,100,527,01/03/2024 00:00,
Net Generating Capacity,6,B12,Hydro Water Reservoir,AL,2023,100,1676,01/03/2024 00:00,
Net Generating Capacity,6,B14,Nuclear,AL,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B16,Solar,AL,2023,100,5,01/03/2024 00:00,
Net Generating Capacity,6,B01,Biomass,AT,2023,100,482,01/03/2024 00:00,
Net Generating Capacity,6,B02,Fossil Brown coal/Lignite,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B03,Fossil Coal-derived gas,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B04,Fossil Gas,AT,2023,100,4206.12,01/03/2024 00:00,
Net Generating Capacity,6,B05,Fossil Hard coal,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B06,Fossil Oil,AT,2023,100,120,01/03/2024 00:00,
Net Generating Capacity,6,B07,Fossil Oil shale,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B08,Fossil Peat,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B09,Geothermal,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B10,Hydro Pumped Storage,AT,2023,100,3362.5,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,AT,2023,100,5902.03,01/03/2024 00:00,
Net Generating Capacity,6,B12,Hydro Water Reservoir,AT,2023,100,2770.53,01/03/2024 00:00,
Net Generating Capacity,6,B13,Marine,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B14,Nuclear,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B20,Other,AT,2023,100,845.24,01/03/2024 00:00,
Net Generating Capacity,6,B15,Other renewable,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B16,Solar,AT,2023,100,3265.3,01/03/2024 00:00,
Net Generating Capacity,6,B17,Waste,AT,2023,100,103,01/03/2024 00:00,
Net Generating Capacity,6,B18,Wind Offshore,AT,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B19,Wind Onshore,AT,2023,100,3568.82,01/03/2024 00:00,
Net Generating Capacity,6,B02,Fossil Brown coal/Lignite,BA,2023,100,1883,01/03/2024 00:00,
Net Generating Capacity,6,B10,Hydro Pumped Storage,BA,2023,100,440,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,BA,2023,100,252,01/03/2024 00:00,
Net Generating Capacity,6,B12,Hydro Water Reservoir,BA,2023,100,1456,01/03/2024 00:00,
Net Generating Capacity,6,B19,Wind Onshore,BA,2023,100,134.6,01/03/2024 00:00,
Net Generating Capacity,6,B01,Biomass,BE,2023,100,730.34,01/03/2024 00:00,
Net Generating Capacity,6,B04,Fossil Gas,BE,2023,100,6987.62,01/03/2024 00:00,
Net Generating Capacity,6,B06,Fossil Oil,BE,2023,100,449.87,01/03/2024 00:00,
Net Generating Capacity,6,B10,Hydro Pumped Storage,BE,2023,100,1308,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,BE,2023,100,185.51,01/03/2024 00:00,
Net Generating Capacity,6,B14,Nuclear,BE,2023,100,4937,01/03/2024 00:00,
Net Generating Capacity,6,B20,Other,BE,2023,100,27.05,01/03/2024 00:00,
Net Generating Capacity,6,B16,Solar,BE,2023,100,6474.96,01/03/2024 00:00,
Net Generating Capacity,6,B17,Waste,BE,2023,100,383.64,01/03/2024 00:00,
Net Generating Capacity,6,B18,Wind Offshore,BE,2023,100,2262.1,01/03/2024 00:00,
Net Generating Capacity,6,B19,Wind Onshore,BE,2023,100,3053.18,01/03/2024 00:00,
Net Generating Capacity,6,B01,Biomass,BG,2023,100,74,01/03/2024 00:00,
Net Generating Capacity,6,B02,Fossil Brown coal/Lignite,BG,2023,100,4119,01/03/2024 00:00,
Net Generating Capacity,6,B03,Fossil Coal-derived gas,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B04,Fossil Gas,BG,2023,100,1322,01/03/2024 00:00,
Net Generating Capacity,6,B05,Fossil Hard coal,BG,2023,100,350,01/03/2024 00:00,
Net Generating Capacity,6,B06,Fossil Oil,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B07,Fossil Oil shale,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B08,Fossil Peat,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B09,Geothermal,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B10,Hydro Pumped Storage,BG,2023,100,864,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,BG,2023,100,540,01/03/2024 00:00,
Net Generating Capacity,6,B12,Hydro Water Reservoir,BG,2023,100,1810,01/03/2024 00:00,
Net Generating Capacity,6,B13,Marine,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B14,Nuclear,BG,2023,100,2080,01/03/2024 00:00,
Net Generating Capacity,6,B20,Other,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B15,Other renewable,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B16,Solar,BG,2023,100,2879,01/03/2024 00:00,
Net Generating Capacity,6,B17,Waste,BG,2023,100,6,01/03/2024 00:00,
Net Generating Capacity,6,B18,Wind Offshore,BG,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B19,Wind Onshore,BG,2023,100,705,01/03/2024 00:00,
Net Generating Capacity,6,B10,Hydro Pumped Storage,CH,2023,100,6696.7,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,CH,2023,100,604.5,01/03/2024 00:00,
Net Generating Capacity,6,B12,Hydro Water Reservoir,CH,2023,100,5588,01/03/2024 00:00,
Net Generating Capacity,6,B14,Nuclear,CH,2023,100,2970,01/03/2024 00:00,
Net Generating Capacity,6,B01,Biomass,CZ,2023,100,410,01/03/2024 00:00,
Net Generating Capacity,6,B02,Fossil Brown coal/Lignite,CZ,2023,100,7160,01/03/2024 00:00,
Net Generating Capacity,6,B03,Fossil Coal-derived gas,CZ,2023,100,380,01/03/2024 00:00,
Net Generating Capacity,6,B04,Fossil Gas,CZ,2023,100,1240,01/03/2024 00:00,
Net Generating Capacity,6,B05,Fossil Hard coal,CZ,2023,100,1200,01/03/2024 00:00,
Net Generating Capacity,6,B06,Fossil Oil,CZ,2023,100,0,01/03/2024 00:00,
Net Generating Capacity,6,B10,Hydro Pumped Storage,CZ,2023,100,1172,01/03/2024 00:00,
Net Generating Capacity,6,B11,Hydro Run-of-river and poundage,CZ,2023,100,340,01/03/2024 00:00,
