MeasureItem,MeasureItemCategoryID,MeasureItemID,Category,Country,Year,LengthOfCircuits,LengthOfRoutes,NumberOfUnits,ProvidedValue,CreationDate,ProvidedValueCode
Inventory of Transmission,5,406,ACC_220kV_380kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,AL,2024,1735,1735,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,AL,2024,1297,1297,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,AL,2024,445,445,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,AL,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,AL,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,AL,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,AL,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,AL,2024,,,23,2450,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,AL,2024,,,2,300,03/06/2025 11:08,
Inventory of Transmission,5,416,Nw_400kV_220kV,AL,2024,,,5,1545,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,AL,2024,,,21,1850,03/06/2025 11:08,
Inventory of Transmission,5,412,Of_PU_>275kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,AL,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,AT,2024,8,7,,,03/06/2025 11:08,
Inventory of Transmission,5,407,ACC_Over_380kV,AT,2024,54,54,,,03/06/2025 11:08,
Inventory of Transmission,5,400,ACL_110kV_220kV,AT,2024,10826,6146,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,AT,2024,3608,1847,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,AT,2024,3098,1434,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,AT,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,AT,2024,,,,"110 kV cables: length of circuits 822 km, length of routh 759 km",03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,AT,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,AT,2024,,,,Of_PU_>220kV: 220/220 kV Phase Shifting Tx,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,AT,2024,,,47,10260,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,AT,2024,,,23,6700,03/06/2025 11:08,
Inventory of Transmission,5,416,Nw_400kV_220kV,AT,2024,,,23,14930,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,AT,2024,,,8,3170,03/06/2025 11:08,
