MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AL	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B05	Fossil Hard coal	AL	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AL	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AL	2025	100	587.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AL	2025	100	1728.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B19	Wind Onshore	AL	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B01	Biomass	AT	2025	100	549.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B04	Fossil Gas	AT	2025	100	4225.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B05	Fossil Hard coal	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B06	Fossil Oil	AT	2025	100	125.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B07	Fossil Oil shale	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B08	Fossil Peat	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B09	Geothermal	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AT	2025	100	3512.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AT	2025	100	5895.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AT	2025	100	2532.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B13	Marine	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B14	Nuclear	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B20	Other	AT	2025	100	855.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B15	Other renewable	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B16	Solar	AT	2025	100	8254.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B17	Waste	AT	2025	100	128.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B18	Wind Offshore	AT	2025	100	0.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B19	Wind Onshore	AT	2025	100	4035.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	BA	2025	100	1883.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B10	Hydro Pumped Storage	BA	2025	100	440.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	BA	2025	100	252.00	17-03-2026 16:35:36	
Net Generating Capacity	6	B12	Hydro Water Reservoir	BA	2025	100	1456.00	17-03-2026 16:35:36	
